workforce,staff_N,year,scenario,oncosts,structure,cost_per_head,total_cost,exeter_saving_per_yr,extra_posts_at_exeter_avg
E&R + Education-only,1155,2025-26,bottom,incl,Warwick,64563,74570641,6426634,91.6
E&R + Education-only,1155,2025-26,bottom,incl,Nottingham,65065,75150631,5846644,83.4
E&R + Education-only,1155,2025-26,bottom,incl,Southampton,65294,75415014,5582261,79.6
E&R + Education-only,1155,2025-26,bottom,incl,Liverpool,67712,78207688,2789587,39.8
E&R + Education-only,1155,2025-26,bottom,incl,Durham,65319,75443805,5553470,79.2
E&R + Education-only,1155,2025-26,bottom,incl,Sheffield,63688,73559852,7437423,106.1
E&R + Education-only,1155,2025-26,even,salary only,Exeter,55231,63791707,0,0.0
E&R + Education-only,1155,2025-26,even,salary only,Bristol,53704,62028661,1763046,31.9
E&R + Education-only,1155,2025-26,even,salary only,Leeds,55554,64165041,-373334,-6.8
E&R + Education-only,1155,2025-26,even,salary only,Cardiff,53595,61902435,1889272,34.2
E&R + Education-only,1155,2025-26,even,salary only,Birmingham,51104,59024752,4766955,86.3
E&R + Education-only,1155,2025-26,even,salary only,York,51506,59489314,4302393,77.9
E&R + Education-only,1155,2025-26,even,salary only,Warwick,52098,60173100,3618607,65.5
E&R + Education-only,1155,2025-26,even,salary only,Nottingham,52714,60884773,2906934,52.6
E&R + Education-only,1155,2025-26,even,salary only,Southampton,52744,60919868,2871839,52.0
E&R + Education-only,1155,2025-26,even,salary only,Liverpool,54452,62892242,899465,16.3
E&R + Education-only,1155,2025-26,even,salary only,Durham,52145,60227403,3564304,64.5
E&R + Education-only,1155,2025-26,even,salary only,Sheffield,51075,58991966,4799741,86.9
E&R + Education-only,1155,2025-26,even,incl,Exeter,71050,82062969,0,0.0
E&R + Education-only,1155,2025-26,even,incl,Bristol,69066,79771009,2291960,32.3
E&R + Education-only,1155,2025-26,even,incl,Leeds,71470,82548304,-485335,-6.8
E&R + Education-only,1155,2025-26,even,incl,Cardiff,68924,79606916,2456054,34.6
